Signature	Number_unique	Number_similar	Similar_signatures	Lowest_LD	Lowest_LD_signature
ACTN1 NGF	594	21	ACTN1 ADRA2A CEACAM8, -3;ACTN1 BDNF MRTO4, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 F13A1 RPL10A, -3;ACTN1 GDNF PAIP2B, -3;ACTN1 ISG20, -4;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 MRPS12 MSC, -3;ACTN1 RPL10A, -4;ACTN1 TLE1, -4;ATM ELN NGF PRKCA, -2;CARD9 NGF SOX2, -3;ELN ERCC2 NGF SYK, -2;ERCC2 KATNA1 MAPT NGF, -2;F13A1 HNF4A NGF RPL10A, -2;FXYD5 NGF PAX4, -3;HMGA1 NGF PDGFC, -3;HMGA1 NGF VEGFC, -3;NGF, -4;NGF PRKCA SH3TC1 TGFBI, -1;NGF TLE1, -3	-4	ACTN1 ISG20
ACTN1 RPL10A	587	28	ACTN1 ADRA2A CEACAM8, -3;ACTN1 BDNF MRTO4, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 F13A1 RPL10A, -9;ACTN1 GDNF PAIP2B, -3;ACTN1 ISG20, -4;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 MRPS12 MSC, -3;ACTN1 NGF, -4;ACTN1 TLE1, -4;AGER HNF4A RPL10A, -3;BIRC3 F13A1 RPL10A, -3;BIRC3 RPL10A, -4;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;COL1A1 MSX2 MYL1 RPL10A TAS2R16, -1;E2F5 MYL1 RPL10A, -3;F13A1 HNF4A NGF RPL10A, -2;F13A1 IRAK3 MAPT QKI RPL10A, -1;F13A1 LAMB3 MYL1 RPL10A, -2;FBN1 GNAI1 RPL10A, -3;HNF4A RPL10A, -4;HNF4A RPL10A TLE1, -3;ITIH4 PRKCB REEP1 RPL10A XBP1, -1;ITIH4 RPL10A, -4;MSX2 NMT2 RPL10A TAS2R16, -2;PAX4 RPL10A TUBB6, -3;PRMT1 RPL10A, -4;RPL10A, -4	-9	ACTN1 F13A1 RPL10A
ACTN1 TLE1	588	27	ACTN1 ADRA2A CEACAM8, -3;ACTN1 BDNF MRTO4, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 F13A1 RPL10A, -3;ACTN1 GDNF PAIP2B, -3;ACTN1 ISG20, -4;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 MRPS12 MSC, -3;ACTN1 NGF, -4;ACTN1 RPL10A, -4;ADRA2A BMP2K FMO4 TLE1, -2;ARHGEF1 BAK1 TLE1, -3;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BMP2K DCHS2 MAPT TLE1, -2;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;ELK3 FAM134B TLE1, -3;HMG20B SGK1 TLE1, -3;HNF4A RPL10A TLE1, -3;JPH2 PALM PDLIM4 TLE1, -2;LILRB5 MRTO4 TLE1, -3;NGF TLE1, -4;PRKCA TLE1, -4;TLE1, -4	-4	ACTN1 ISG20
ADAM19 DCHS2 PDLIM4 TBC1D9 TG	607	8	BMP2K DCHS2 MAPT TLE1, -1;BMP2K DCHS2 PRKCA ZIC4, -1;BMP2K DCHS2 ZIC4, -1;E2F5 TBC1D9, -1;HMGA1 PDLIM4, -1;IGF1 LAMA5 PDLIM4, -1;JPH2 PALM PDLIM4 TLE1, -1;TG, -1	-1	BMP2K DCHS2 MAPT TLE1
ADAM28 C1QA FRAT1	587	28	ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ADAM28 ELN GRIK3, -3;ADAM28 F13A1 IRAK3 POU6F1, -2;ADAM28 GZMA HMGA1 OSBPL9, -2;ADAM28 HMGA1, -3;ADAM28 HR PDZD3, -3;ATP5B C1QA CPB2 ELN, -2;ATP5B C1QA ERCC2 HNF4A SYK, -1;ATP5B C1QA HNF4A, -3;BMP2K C1QA, -3;BMP2K C1QA MRPS12, -3;C1QA, -3;C1QA DAB2 IRAK3, -2;C1QA ELN IL12A ITIH4, -1;C1QA GRIK3 TRIP10, -2;C1QA KLK2, -3;C1QA PDIA3 SAMD9 VEGFC, -1;C1QA ZNF668, -3;CD40 FRAT1, -3;CYP2B6 FRAT1, -3;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 1;FHL3 FRAT1 GTDC1, -2;FRAT1 GDNF OSBPL9, -1;FRAT1 GPRC5D LOR, -1;FRAT1 HOXA3 NLGN1, -1;FRAT1 NLGN1 XBP1, -1;FRAT1 SYK, -2;FRAT1 TLR4, -2	-3	ADAM28 ELN GRIK3
ADAM28 CEACAM1 GPR137B HOXA3 SETD4	589	26	ADAM28 C1QA FRAT1, -1;ADAM28 ELN GRIK3, -1;ADAM28 F13A1 IRAK3 POU6F1, -1;ADAM28 GZMA HMGA1 OSBPL9, -1;ADAM28 HMGA1, -1;ADAM28 HR PDZD3, -1;CD3EAP ERCC2 HOXA3 PTGES3 REEP1, 0;CEACAM1, -1;CEACAM1 COL1A1 GRTP1 PHLDA1, -1;CEACAM1 COL1A1 PHLDA1, -1;CEACAM1 DDR2 ELN, -1;CEACAM1 ERCC2, -1;CEACAM1 FMO4, -1;CEACAM1 GABBR2 RCN3, -1;CEACAM1 GADD45G GPR137B MCTP2, -6;CEACAM1 GDNF RPL10A SLC7A2 VENTX, 0;CEACAM1 HNF4A MSC, -1;CLEC4M GADD45G HOXA3 SLC39A4, -1;FRAT1 HOXA3 NLGN1, -1;FXYD1 SETD4, -1;FXYD5 GABBR2 GPR137B, -1;FXYD5 GPR137B, -1;GNAI1 GPR137B IL12A RCAN2, -1;GPR137B, -1;GPR137B MME, -1;NOX3 RREB1 SETD4, -1	-6	CEACAM1 GADD45G GPR137B MCTP2
ADAM28 ELN GRIK3	584	31	ADAM28 C1QA FRAT1, -3;ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ADAM28 F13A1 IRAK3 POU6F1, -2;ADAM28 GZMA HMGA1 OSBPL9, -2;ADAM28 HMGA1, -3;ADAM28 HR PDZD3, -3;AFF3 ELN, -3;ATM ELN NGF PRKCA, -2;ATP5B C1QA CPB2 ELN, -1;BAK1 ELN PRKCB, -3;C1QA ELN IL12A ITIH4, -2;C1QA GRIK3 TRIP10, -2;CBR1 EXT1 GRIK3 HTR2A, -2;CBR1 GRIK3, -3;CEACAM1 DDR2 ELN, -2;CPB2 DLG2 ELN MSC, -2;CPB2 ELN, -3;CPB2 ELN MAPT, -3;CPB2 ELN OLFML2B, -3;DLG2 ELN S100P TBXA2R, -2;ELN, -3;ELN ERCC2 NGF SYK, -1;ELN F13A1 IRAK3 MAPT, -1;ELN HRH4, -3;ELN MPST, -3;ELN PAX4 TGFB2, -2;ELN PRLR, -3;ELN S100P ZNF668, -2;GAA GRIK3 KCNK12 MT1H, -1;GRIK3 LMO3 QPCTL VAMP5, 0;GRIK3 NMT2, -2	-3	ADAM28 C1QA FRAT1
ADAM28 F13A1 IRAK3 POU6F1	578	37	ACTN1 F13A1 RPL10A, -2;ADAM28 C1QA FRAT1, -2;ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ADAM28 ELN GRIK3, -2;ADAM28 GZMA HMGA1 OSBPL9, -2;ADAM28 HMGA1, -2;ADAM28 HR PDZD3, -2;ALX1 POU6F1 ROBO4, -1;ATP5B COL1A1 ERCC2 HNF4A IRAK3, 0;AXL CARD9 POU6F1 SLC1A5, -1;BAZ2A IRAK3 QPCTL, -2;BIRC3 F13A1 RPL10A, -2;BUB1 ETS2 F13A1, -1;C1QA DAB2 IRAK3, -2;C1orf21 ITGB7 POU6F1 SURF2, -1;CTGF E2F5 IRAK3, -2;CTGF IRAK3 TGFBI, -2;CTGF NLGN1 POU6F1, -2;CYP27A1 EDNRA POU6F1, -2;DDR2 MME POU6F1, -2;DDR2 POU6F1 PRLR SYNPO, 0;DDR2 POU6F1 VEGFC, -1;ELN F13A1 IRAK3 MAPT, -8;ERCC2 F13A1 KATNA1, -2;F11R POU6F1, -2;F13A1, -2;F13A1 GNRH2 IRF1, -2;F13A1 HNF4A NGF RPL10A, -1;F13A1 IRAK3 MAPT QKI RPL10A, -6;F13A1 LAMB3 MYL1 RPL10A, -1;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 1;IRAK3 QPCTL, -2;ITGB7 POU6F1 VEGFC, -1;POU6F1, -2;POU6F1 PPA2 RHOH, 0;POU6F1 RBMS2 TAS2R8, 0;POU6F1 SLC1A5 TGFBR3, 0	-8	ELN F13A1 IRAK3 MAPT
ADAM28 GZMA HMGA1 OSBPL9	593	22	ADAM28 C1QA FRAT1, -2;ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ADAM28 ELN GRIK3, -2;ADAM28 F13A1 IRAK3 POU6F1, -2;ADAM28 HMGA1, -8;ADAM28 HR PDZD3, -2;ALX1 BMP2K HMGA1, -2;ARHGEF1 CLDN3 HMGA1 MYO1A, -2;C4BPA ELK3 OSBPL9, -2;CAPN9 CPB2 OSBPL9, -2;CD1D GPR35 ITIH4 OSBPL9, -2;CEACAM7 FBN1 HMGA1 TPM2, -2;DLGAP1 HMGA1, -2;E2F5 OSBPL9, -2;FLI1 HMGA1 PDIA3 TRIP10, -1;FRAT1 GDNF OSBPL9, -2;HMGA1, -2;HMGA1 ITGB7 KIF13B PADI3, 0;HMGA1 NGF PDGFC, -1;HMGA1 NGF VEGFC, -1;HMGA1 PDLIM4, -2;LAMA5 LILRB5 MRTO4 OSBPL9, -2	-8	ADAM28 HMGA1
ADAM28 HMGA1	599	16	ADAM28 C1QA FRAT1, -3;ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ADAM28 ELN GRIK3, -3;ADAM28 F13A1 IRAK3 POU6F1, -2;ADAM28 GZMA HMGA1 OSBPL9, -8;ADAM28 HR PDZD3, -3;ALX1 BMP2K HMGA1, -3;ARHGEF1 CLDN3 HMGA1 MYO1A, -2;CEACAM7 FBN1 HMGA1 TPM2, -2;DLGAP1 HMGA1, -4;FLI1 HMGA1 PDIA3 TRIP10, -2;HMGA1, -4;HMGA1 ITGB7 KIF13B PADI3, -1;HMGA1 NGF PDGFC, -2;HMGA1 NGF VEGFC, -2;HMGA1 PDLIM4, -3	-8	ADAM28 GZMA HMGA1 OSBPL9
ADAM28 HR PDZD3	603	12	ADAM28 C1QA FRAT1, -3;ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ADAM28 ELN GRIK3, -3;ADAM28 F13A1 IRAK3 POU6F1, -2;ADAM28 GZMA HMGA1 OSBPL9, -2;ADAM28 HMGA1, -3;CD80 HR XBP1, -3;DKK2 MRPS12 PDZD3 REEP1, -2;HR IL10, -3;HR ITGBL1 SYNPO VAMP5 XBP1, 0;ONECUT2 PDZD3 SLC3A1, -2;PDZD3, -3	-3	ADAM28 C1QA FRAT1
ADAMTS5	612	3	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ADAMTS5 CARD9 RCAN2 TNC, -2;ADAMTS5 CTGF GRTP1, -3	-3	ADAMTS5 CTGF GRTP1
ADAMTS5 BIRC3 MME PRKCA XBP1	570	45	ADAMTS5, -1;ADAMTS5 CARD9 RCAN2 TNC, -1;ADAMTS5 CTGF GRTP1, -1;ARHGEF1 ITIH4 MRTO4 PRKCA, -1;ATM BIRC3 CD40 FARP1, -1;ATM ELN NGF PRKCA, -1;ATP5B DLG2 PRKCA RCVRN, -1;ATP5B ERCC2 ITIH4 PRKCA, -1;ATP5B PRKCA, -1;BIRC3, -1;BIRC3 BSCL2 PRKCA, -7;BIRC3 CFH IGF1R, -1;BIRC3 EVI2A ITIH4 RPH3AL, -1;BIRC3 F13A1 RPL10A, -1;BIRC3 GTDC1 JPH2 PAX2, -1;BIRC3 QPCTL RPH3AL, -1;BIRC3 RPL10A, -1;BMP2K DCHS2 PRKCA ZIC4, -1;CD3EAP GNAI1 PRKCA, -1;CD3EAP GNAI1 PRKCA THBS1, -1;CD80 HR XBP1, -1;COL16A1 GNAI1 PRKCA, -1;DAB2 GDNF MME, -1;DDR2 MME POU6F1, -1;DDR2 PRKCA TAC1, -1;DDR2 PRKCA VAMP5, -1;DLG2 GNAI1 PADI3 PRKCA, -1;ELK3 PRKCA TNC, -1;FRAT1 NLGN1 XBP1, -1;GNAI1 PRKCA, -1;GNRH2 HTR2A PRKCA, -1;GPR137B MME, -1;HR ITGBL1 SYNPO VAMP5 XBP1, -1;HTR2A PHF20 XBP1, -1;ITGB7 PRKCA, -1;ITGBL1 PRKCA, -1;ITIH4 PRKCB REEP1 RPL10A XBP1, -1;KIF14 MVK PRKCA, -1;MME, -1;MME MRTO4, -1;MT1H PRKCA, -1;NGF PRKCA SH3TC1 TGFBI, 0;PRKCA, -1;PRKCA TGFBI, -1;PRKCA TLE1, -1	-7	BIRC3 BSCL2 PRKCA
ADAMTS5 CARD9 RCAN2 TNC	599	16	ADAMTS5, -2;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ADAMTS5 CTGF GRTP1, -2;ATP1B3 RCAN2, -2;AXL CARD9 POU6F1 SLC1A5, -2;CARD9, -2;CARD9 FAM134B PALM TGFBR3, -1;CARD9 NGF SOX2, -2;CARD9 TGM2, -2;CYP27A1 ETS2 MAPT TNC, -2;ELK3 PRKCA TNC, -2;ERCC2 ISG20 ITGB4 KATNA1 TNC, -1;GNAI1 GPR137B IL12A RCAN2, -1;MRPS12 RCAN2 RCVRN SLC39A4, -1;RCAN2, -2;TNC, -2	-2	ADAMTS5
ADAMTS5 CTGF GRTP1	594	21	ADAMTS5, -3;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ADAMTS5 CARD9 RCAN2 TNC, -2;AGER CTGF ITGBL1, -3;ARHGAP25 CTGF, -3;ARHGEF1 CTGF, -3;BSCL2 CD40 GRTP1 PDIA3, -2;CALCOCO1 GRTP1 LAMA5 PNLIP, -1;CEACAM1 COL1A1 GRTP1 PHLDA1, -2;CSF1 CTGF ERCC2 TRIP10, -2;CTGF, -3;CTGF E2F5 IRAK3, -2;CTGF ELK3 FBN1 GRTP1 PALM, -6;CTGF FABP6 IGF1 PRPH2 RFX4, 0;CTGF HNF4A S100P ZNF273, -1;CTGF IRAK3 TGFBI, -2;CTGF MRPS12, -3;CTGF MT1H, -3;CTGF NLGN1 POU6F1, -2;CTGF RPL18, -3;GRTP1 KIF13B MRTO4 RPL18, 0	-6	CTGF ELK3 FBN1 GRTP1 PALM
ADRA2A BMP2K FMO4 TLE1	581	34	ACTN1 ADRA2A CEACAM8, -1;ACTN1 TLE1, -2;ALX1 BMP2K HMGA1, -2;ARHGEF1 BAK1 TLE1, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -2;BMP2K, -2;BMP2K C1QA, -2;BMP2K C1QA MRPS12, -2;BMP2K CBR1 HNF4A PAIP2B TM4SF1, 0;BMP2K DCHS2 MAPT TLE1, -7;BMP2K DCHS2 PRKCA ZIC4, -1;BMP2K DCHS2 ZIC4, -2;BMP2K E2F5 ERCC2 IL12A, -1;BMP2K E2F5 SYNPO, -2;BMP2K FBN1 MRPS12, -2;BMP2K IL10 PHF20, -2;BMP2K KATNA1, -2;BMP2K LAMB3 TLE1, -8;BMP2K MRPS12 QKI TLE1, -7;CEACAM1 FMO4, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;ELK3 FAM134B TLE1, -2;FMO4, -2;FMO4 S100P, -2;HMG20B SGK1 TLE1, -2;HNF4A RPL10A TLE1, -2;JPH2 PALM PDLIM4 TLE1, -2;LILRB5 MRTO4 TLE1, -2;NGF TLE1, -2;PRKCA TLE1, -2;TLE1, -2	-8	BMP2K LAMB3 TLE1
AFF3 ELN	596	19	ADAM28 ELN GRIK3, -3;ATM ELN NGF PRKCA, -2;ATP5B C1QA CPB2 ELN, -2;BAK1 ELN PRKCB, -3;C1QA ELN IL12A ITIH4, -2;CEACAM1 DDR2 ELN, -3;CPB2 DLG2 ELN MSC, -2;CPB2 ELN, -4;CPB2 ELN MAPT, -3;CPB2 ELN OLFML2B, -3;DLG2 ELN S100P TBXA2R, -2;ELN, -4;ELN ERCC2 NGF SYK, -1;ELN F13A1 IRAK3 MAPT, -1;ELN HRH4, -3;ELN MPST, -3;ELN PAX4 TGFB2, -2;ELN PRLR, -3;ELN S100P ZNF668, -2	-4	CPB2 ELN
