Signature	Number_unique	Number_similar	Similar_signatures	Lowest_LD	Lowest_LD_signature
ATP5B PROCR	595	20	ATP5B, -4;ATP5B BAG2 E2F5 RARS, -2;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;ATP5B BMI1 FXYD1 PRLR, -2;ATP5B C1QA CPB2 ELN, -2;ATP5B C1QA ERCC2 HNF4A SYK, -1;ATP5B C1QA HNF4A, -3;ATP5B COL1A1 ERCC2 HNF4A IRAK3, -1;ATP5B DLG2 PRKCA RCVRN, -2;ATP5B ERCC2, -4;ATP5B ERCC2 ITIH4 PRKCA, -2;ATP5B FBN1 HNF4A, -3;ATP5B GADD45G KIF14, -3;ATP5B GNAI1 TCF4 ZFP36L2, -2;ATP5B HMG20B, -4;ATP5B HNF4A, -4;ATP5B IRF1 TGM2, -3;ATP5B MAPT NMT2, -3;ATP5B PRKCA, -4	-4	ATP5B
AXL CARD9 POU6F1 SLC1A5	595	20	ADAM28 F13A1 IRAK3 POU6F1, -1;ADAMTS5 CARD9 RCAN2 TNC, -2;ALX1 POU6F1 ROBO4, -2;C1orf21 ITGB7 POU6F1 SURF2, -2;CARD9, -2;CARD9 FAM134B PALM TGFBR3, -1;CARD9 NGF SOX2, -2;CARD9 TGM2, -2;CTGF NLGN1 POU6F1, -2;CYP27A1 EDNRA POU6F1, -2;DAB2 DDR2 LHX2 SLC1A5, -2;DDR2 MME POU6F1, -2;DDR2 POU6F1 PRLR SYNPO, -1;DDR2 POU6F1 VEGFC, -2;F11R POU6F1, -2;ITGB7 POU6F1 VEGFC, -2;POU6F1, -2;POU6F1 PPA2 RHOH, -1;POU6F1 RBMS2 TAS2R8, -1;POU6F1 SLC1A5 TGFBR3, -7	-7	POU6F1 SLC1A5 TGFBR3
BAG2	614	1	ATP5B BAG2 E2F5 RARS, -2	-2	ATP5B BAG2 E2F5 RARS
BAK1	598	17	AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BAK1 TLE1, -3;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -4;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BAK1 IL12A SV2A, -3;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -4;BAK1 S100P, -4;BAK1 SV2A SYNPO, -3	-4	BAK1 DDR2
BAK1 BDNF GNAI1	577	38	ACTN1 BDNF MRTO4, -3;AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BAK1 TLE1, -2;ATM GNAI1 PRKCB, -2;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;ATP5B GNAI1 TCF4 ZFP36L2, -1;BAK1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, -6;BAK1 DDR2, -3;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BAK1 IL12A SV2A, -3;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -3;BAK1 S100P, -3;BAK1 SV2A SYNPO, -3;BDNF, -3;BDNF BUB1 CEACAM8 ETS2, -1;BDNF CFD INS MRTO4, -1;BDNF COL16A1 IGF1 S100P, -1;BDNF GNRH2, -3;BDNF LAMB3 VENTX, -2;BDNF PRKCB TGFB2, -2;CD3EAP GNAI1 PRKCA, -2;CD3EAP GNAI1 PRKCA THBS1, -1;CEACAM8 GNAI1 LAMB3 SOX2, -1;COL16A1 GNAI1 PRKCA, -2;DHRS7 GAA GNAI1, -3;DLG2 GNAI1 PADI3 PRKCA, -1;FBN1 GNAI1 RPL10A, -2;GNAI1, -3;GNAI1 GPR137B IL12A RCAN2, 0;GNAI1 PRKCA, -2;GNAI1 PRKCB QPCTL, -1	-6	BAK1 BDNF HMG20B IGF1 S100P SOX5
BAK1 BDNF HMG20B IGF1 S100P SOX5	565	50	ACTN1 BDNF MRTO4, 0;AGER BAK1 E2F5 IL12A, 1;ARHGEF1 BAK1 TLE1, 1;ATM CEACAM8 IGF1 S100P, -6;ATM HMG20B NMT2, 0;ATM IGF1 S100P, -6;ATP5B BAK1 BUB1 CFD ETS2, 1;ATP5B BAK1 E2F5 ERCC2 HNF4A, 1;ATP5B HMG20B, 0;BAK1, 0;BAK1 BDNF GNAI1, -6;BAK1 DDR2, 0;BAK1 E2F5 ERCC2 LAMB3, 0;BAK1 ELN PRKCB, 0;BAK1 EXT1 FXYD1 PAX2, 0;BAK1 FBN1 GADD45G TLE1, 0;BAK1 GADD45G TLE1, 0;BAK1 IL12A SV2A, 0;BAK1 LCN2 MYL1 NOX3 RCVRN, 0;BAK1 MAPT, 0;BAK1 S100P, -6;BAK1 SV2A SYNPO, 0;BDNF, 0;BDNF BUB1 CEACAM8 ETS2, 0;BDNF CFD INS MRTO4, 0;BDNF COL16A1 IGF1 S100P, -12;BDNF GNRH2, 0;BDNF LAMB3 VENTX, 0;BDNF PRKCB TGFB2, 0;CALCOCO1 IGF1 LAMA5, 0;CBR3 HMG20B ZNF668, 0;COL16A1 MYL1 S100P, 0;CPB2 GABBR2 S100P SYT5, 0;CTGF FABP6 IGF1 PRPH2 RFX4, 0;CTGF HNF4A S100P ZNF273, 0;DDR2 HMG20B MCTP2 TLE1, 0;DLG2 ELN S100P TBXA2R, 0;ELN S100P ZNF668, 0;FMO4 S100P, 0;FOXF2 HMG20B, 0;HMG20B, 0;HMG20B HRH4, 0;HMG20B SGK1 TLE1, 0;HTR2A LCN2 S100P, 0;IGF1, 0;IGF1 LAMA5 PDLIM4, 0;IGF1 LAMB3, 0;IGF1 MSC PDIA3 PPA2, 1;PPA2 S100P, 0;S100P, 0	-12	BDNF COL16A1 IGF1 S100P
BAK1 DDR2	585	30	AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BAK1 TLE1, -3;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;BAK1, -4;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BAK1 IL12A SV2A, -3;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -4;BAK1 S100P, -4;BAK1 SV2A SYNPO, -3;CEACAM1 DDR2 ELN, -3;CEACAM8 DDR2 LHX2, -3;DAB2 DDR2 LHX2 SLC1A5, -2;DDR2, -4;DDR2 EVI2A FBN1 GPRC5D, -1;DDR2 FBN1 ITGBL1 TLE1, -1;DDR2 HMG20B MCTP2 TLE1, -1;DDR2 MME POU6F1, -2;DDR2 POU6F1 PRLR SYNPO, -1;DDR2 POU6F1 VEGFC, -2;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DDR2 PRKCB, -3	-4	BAK1
BAK1 E2F5 ERCC2 LAMB3	551	64	ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 ITGB4 LAMB3 PAX4, -1;AGER BAK1 E2F5 IL12A, -7;ALX1 ERCC2 KATNA1, -2;ARHGEF1 BAK1 TLE1, -1;ATP5B BAG2 E2F5 RARS, -1;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -13;ATP5B C1QA ERCC2 HNF4A SYK, -1;ATP5B COL1A1 ERCC2 HNF4A IRAK3, -1;ATP5B ERCC2, -2;ATP5B ERCC2 ITIH4 PRKCA, -1;BAK1, -2;BAK1 BDNF GNAI1, -2;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -2;BAK1 ELN PRKCB, -2;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -2;BAK1 IL12A SV2A, -2;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -2;BAK1 S100P, -2;BAK1 SV2A SYNPO, -2;BDNF LAMB3 VENTX, -1;BMP2K E2F5 ERCC2 IL12A, -8;BMP2K E2F5 SYNPO, -2;BMP2K LAMB3 TLE1, -1;CALCOCO1 LAMB3, -2;CASP1 ERCC2 KATNA1, -2;CD3EAP ERCC2 HOXA3 PTGES3 REEP1, 0;CEACAM1 ERCC2, -2;CEACAM8 GNAI1 LAMB3 SOX2, -1;CFH E2F5, -2;CPB2 ERCC2 GAA KCNK12 MT1H, 0;CSF1 CTGF ERCC2 TRIP10, -2;CTGF E2F5 IRAK3, -2;CYP2B6 E2F5, -2;DLG2 LAMB3, -2;E2F5, -2;E2F5 ERCC2, -8;E2F5 ETS2, -2;E2F5 ITIH4 KIF14 ZNF273, -1;E2F5 MRTO4 TLR4, -2;E2F5 MYL1 RPL10A, -2;E2F5 NHLH1 TRIM32, -2;E2F5 OSBPL9, -2;E2F5 TBC1D9, -2;ELK3 LAMB3, -2;ELN ERCC2 NGF SYK, -1;ERCC2, -2;ERCC2 F13A1 KATNA1, -1;ERCC2 IGF1R MSX2 PLXNC1, 0;ERCC2 ISG20 ITGB4 KATNA1 TNC, 1;ERCC2 ITIH4 NMT2, -1;ERCC2 KATNA1 MAPT NGF, 0;ERCC2 PTGES3, -2;F13A1 LAMB3 MYL1 RPL10A, 0;GPR35 IL12A LAMB3, -2;IGF1 LAMB3, -2;LAMB3, -2;LAMB3 MRTO4 PAIP2B, 0;LAMB3 PCDH12, -1	-13	ATP5B BAK1 E2F5 ERCC2 HNF4A
BAK1 ELN PRKCB	573	42	ADAM28 ELN GRIK3, -3;AFF3 ELN, -3;AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BAK1 TLE1, -2;ATM ELN NGF PRKCA, -2;ATM GNAI1 PRKCB, -3;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;ATP5B C1QA CPB2 ELN, -1;BAK1, -3;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -3;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BAK1 IL12A SV2A, -3;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -3;BAK1 S100P, -3;BAK1 SV2A SYNPO, -3;BDNF PRKCB TGFB2, -2;C1QA ELN IL12A ITIH4, -2;CEACAM1 DDR2 ELN, -2;CPB2 DLG2 ELN MSC, -2;CPB2 ELN, -3;CPB2 ELN MAPT, -3;CPB2 ELN OLFML2B, -3;DDR2 PRKCB, -3;DLG2 ELN S100P TBXA2R, -2;ELN, -3;ELN ERCC2 NGF SYK, -1;ELN F13A1 IRAK3 MAPT, -1;ELN HRH4, -3;ELN MPST, -3;ELN PAX4 TGFB2, -2;ELN PRLR, -3;ELN S100P ZNF668, -2;FXYD1 PRKCB, -3;GNAI1 PRKCB QPCTL, -2;ITIH4 PRKCB REEP1 RPL10A XBP1, 0	-3	ADAM28 ELN GRIK3
BAK1 EXT1 FXYD1 PAX2	584	31	AGER BAK1 E2F5 IL12A, -1;ARHGEF1 BAK1 TLE1, -1;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;ATP5B BMI1 FXYD1 PRLR, -2;BAK1, -2;BAK1 BDNF GNAI1, -2;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -2;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -2;BAK1 IL12A SV2A, -2;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -2;BAK1 S100P, -2;BAK1 SV2A SYNPO, -2;BIRC3 GTDC1 JPH2 PAX2, -2;CBR1 EXT1 GRIK3 HTR2A, -2;CCDC81 COL1A1 FXYD1 TGFBR3 VENTX, -1;EXT1 FAM134B RREB1, -2;EXT1 RHOH, -2;FAM134B OLFML2B PAX2 SYNPO, -1;FXYD1, -2;FXYD1 HMOX1 PAIP2B PRLR, 0;FXYD1 PKNOX1 SLC7A2, -1;FXYD1 PRKCB, -2;FXYD1 SETD4, -2;GDNF MCTP2 PAX2 QPCTL, -1;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, 0	-2	ATP5B BMI1 FXYD1 PRLR
BAK1 FBN1 GADD45G TLE1	558	57	ACTN1 TLE1, -2;ADRA2A BMP2K FMO4 TLE1, -2;AGER BAK1 E2F5 IL12A, -1;AGER FBN1, -2;ARHGEF1 BAK1 TLE1, -7;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;ATP5B FBN1 HNF4A, -2;ATP5B GADD45G KIF14, -2;BAK1, -2;BAK1 BDNF GNAI1, -2;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -2;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -2;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 GADD45G TLE1, -14;BAK1 IL12A SV2A, -2;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -2;BAK1 S100P, -2;BAK1 SV2A SYNPO, -2;BMP2K DCHS2 MAPT TLE1, -2;BMP2K FBN1 MRPS12, -2;BMP2K LAMB3 TLE1, -2;BMP2K MRPS12 QKI TLE1, -2;CEACAM1 GADD45G GPR137B MCTP2, -1;CEACAM7 FBN1 HMGA1 TPM2, -2;CLDN3 FBN1, -2;CLEC4M GADD45G HOXA3 SLC39A4, -1;CTGF ELK3 FBN1 GRTP1 PALM, -1;DDR2 EVI2A FBN1 GPRC5D, -1;DDR2 FBN1 ITGBL1 TLE1, -8;DDR2 HMG20B MCTP2 TLE1, -2;DHRS7 ELK3 FBN1 SLC7A2, -1;ELK3 FAM134B FBN1, -1;ELK3 FAM134B TLE1, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 1;FBN1 GNAI1 RPL10A, -2;FBN1 ITGBL1, -2;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 1;FBN1 MRPS12 NOX3 TBXA2R, -1;FBN1 MT1H, -2;FBN1 MT1H VENTX, -2;GABBR2 GADD45G PDIA3, -2;GADD45G, -2;GADD45G MSX2 NOX3 RPH3AL SRGAP3, 1;GADD45G NMT2, -2;GADD45G NMT2 SLC7A2, -1;GADD45G PLXNC1, -2;HMG20B SGK1 TLE1, -2;HNF4A RPL10A TLE1, -2;JPH2 PALM PDLIM4 TLE1, -2;LILRB5 MRTO4 TLE1, -2;NGF TLE1, -2;PRKCA TLE1, -2;TLE1, -2	-14	BAK1 GADD45G TLE1
BAK1 GADD45G TLE1	574	41	ACTN1 TLE1, -3;ADRA2A BMP2K FMO4 TLE1, -2;AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BAK1 TLE1, -8;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;ATP5B GADD45G KIF14, -3;BAK1, -3;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -3;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -14;BAK1 IL12A SV2A, -3;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -3;BAK1 S100P, -3;BAK1 SV2A SYNPO, -3;BMP2K DCHS2 MAPT TLE1, -2;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -2;CEACAM1 GADD45G GPR137B MCTP2, -2;CLEC4M GADD45G HOXA3 SLC39A4, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;ELK3 FAM134B TLE1, -3;GABBR2 GADD45G PDIA3, -3;GADD45G, -3;GADD45G MSX2 NOX3 RPH3AL SRGAP3, 0;GADD45G NMT2, -3;GADD45G NMT2 SLC7A2, -2;GADD45G PLXNC1, -3;HMG20B SGK1 TLE1, -3;HNF4A RPL10A TLE1, -3;JPH2 PALM PDLIM4 TLE1, -2;LILRB5 MRTO4 TLE1, -3;NGF TLE1, -3;PRKCA TLE1, -3;TLE1, -3	-14	BAK1 FBN1 GADD45G TLE1
BAK1 IL12A SV2A	586	29	AGER BAK1 E2F5 IL12A, -7;ARHGEF1 BAK1 TLE1, -2;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;BAK1, -3;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -3;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -3;BAK1 S100P, -3;BAK1 SV2A SYNPO, -8;BMP2K E2F5 ERCC2 IL12A, -1;C1QA ELN IL12A ITIH4, -2;GNAI1 GPR137B IL12A RCAN2, -2;GPR35 IL12A LAMB3, -3;HNF4A IL12A MAPT, -3;IL12A, -3;IL12A MAPT, -3;IL12A ZNF668, -3;OPCML SV2A, -3;SV2A, -3;SV2A SYNPO, -2;SV2A ZNF668, -2	-8	BAK1 SV2A SYNPO
BAK1 LCN2 MYL1 NOX3 RCVRN	577	38	AGER BAK1 E2F5 IL12A, 0;ARHGEF1 BAK1 TLE1, 0;ATP1B3 FLI1 FOXC2 NOX3 SLC22A8, -1;ATP5B BAK1 BUB1 CFD ETS2, 0;ATP5B BAK1 E2F5 ERCC2 HNF4A, 0;ATP5B DLG2 PRKCA RCVRN, -1;BAK1, -1;BAK1 BDNF GNAI1, -1;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -1;BAK1 E2F5 ERCC2 LAMB3, -1;BAK1 ELN PRKCB, -1;BAK1 EXT1 FXYD1 PAX2, -1;BAK1 FBN1 GADD45G TLE1, -1;BAK1 GADD45G TLE1, -1;BAK1 IL12A SV2A, -1;BAK1 MAPT, -1;BAK1 S100P, -1;BAK1 SV2A SYNPO, -1;C1orf21 NOX3 OLFML2B, -1;COL16A1 MYL1 S100P, -1;COL1A1 MSX2 MYL1 RPL10A TAS2R16, -1;E2F5 MYL1 RPL10A, -1;ELK3 FAM134B NOX3, -1;F13A1 LAMB3 MYL1 RPL10A, -1;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 0;FBN1 MRPS12 NOX3 TBXA2R, -1;GADD45B ITGBL1 NOX3 RPH3AL SYK, 0;GADD45G MSX2 NOX3 RPH3AL SRGAP3, 0;HTR2A LCN2 S100P, -1;IFI16 NOX3 RREB1, -1;LCN2, -1;LCN2 MYH8, -1;MRPS12 RCAN2 RCVRN SLC39A4, 0;MYL1 SCN5A, -1;NOX3 RREB1 SETD4, 0;NOX3 RREB1 VENTX, 0;PHLDA1 RCVRN, -1	-1	ATP1B3 FLI1 FOXC2 NOX3 SLC22A8
BAK1 MAPT	586	29	AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BAK1 TLE1, -3;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;ATP5B MAPT NMT2, -3;BAK1, -4;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -4;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BAK1 IL12A SV2A, -3;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 S100P, -4;BAK1 SV2A SYNPO, -3;BMP2K DCHS2 MAPT TLE1, -2;CPB2 ELN MAPT, -3;CYP27A1 ETS2 MAPT TNC, -2;ELN F13A1 IRAK3 MAPT, -2;ERCC2 KATNA1 MAPT NGF, -2;F13A1 IRAK3 MAPT QKI RPL10A, -1;HNF4A IL12A MAPT, -3;HNF4A MAPT, -4;IL12A MAPT, -4;MAPT, -4;MAPT TGFBR3 WFDC1, -2	-4	BAK1
BAK1 S100P	586	29	AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BAK1 TLE1, -3;ATM CEACAM8 IGF1 S100P, -2;ATM IGF1 S100P, -3;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;BAK1, -4;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, -6;BAK1 DDR2, -4;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BAK1 IL12A SV2A, -3;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -4;BAK1 SV2A SYNPO, -3;BDNF COL16A1 IGF1 S100P, -2;COL16A1 MYL1 S100P, -3;CPB2 GABBR2 S100P SYT5, -2;CTGF HNF4A S100P ZNF273, -2;DLG2 ELN S100P TBXA2R, -2;ELN S100P ZNF668, -3;FMO4 S100P, -4;HTR2A LCN2 S100P, -3;PPA2 S100P, -4;S100P, -4	-6	BAK1 BDNF HMG20B IGF1 S100P SOX5
BAK1 SV2A SYNPO	587	28	AGER BAK1 E2F5 IL12A, -2;ARHGEF1 BAK1 TLE1, -2;ATP5B BAK1 BUB1 CFD ETS2, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;BAK1, -3;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 DDR2, -3;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BAK1 IL12A SV2A, -8;BAK1 LCN2 MYL1 NOX3 RCVRN, -1;BAK1 MAPT, -3;BAK1 S100P, -3;BMP2K E2F5 SYNPO, -3;BSCL2 RBM4B SYNPO TLR4, -2;DDR2 POU6F1 PRLR SYNPO, -2;FAM134B OLFML2B PAX2 SYNPO, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 0;HR ITGBL1 SYNPO VAMP5 XBP1, -1;OPCML SV2A, -3;SV2A, -3;SV2A SYNPO, -9;SV2A ZNF668, -3;SYNPO, -3	-9	SV2A SYNPO
BAZ2A IRAK3 QPCTL	602	13	ADAM28 F13A1 IRAK3 POU6F1, -2;ATP5B COL1A1 ERCC2 HNF4A IRAK3, 0;BIRC3 QPCTL RPH3AL, -2;C1QA DAB2 IRAK3, -2;CTGF E2F5 IRAK3, -2;CTGF IRAK3 TGFBI, -3;ELN F13A1 IRAK3 MAPT, -2;F13A1 IRAK3 MAPT QKI RPL10A, -1;GDNF MCTP2 PAX2 QPCTL, -2;GNAI1 PRKCB QPCTL, -3;GRIK3 LMO3 QPCTL VAMP5, -2;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 0;IRAK3 QPCTL, -9	-9	IRAK3 QPCTL
BDNF	606	9	ACTN1 BDNF MRTO4, -3;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BDNF BUB1 CEACAM8 ETS2, -2;BDNF CFD INS MRTO4, -2;BDNF COL16A1 IGF1 S100P, -2;BDNF GNRH2, -4;BDNF LAMB3 VENTX, -3;BDNF PRKCB TGFB2, -3	-4	BDNF GNRH2
BDNF BUB1 CEACAM8 ETS2	592	23	ACTN1 ADRA2A CEACAM8, -2;ACTN1 BDNF MRTO4, -1;ARHGEF1 BMP2K DAB2 ETS2, -2;ATM CEACAM8 IGF1 S100P, -1;ATP5B BAK1 BUB1 CFD ETS2, -7;BAK1 BDNF GNAI1, -1;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BDNF, -2;BDNF CFD INS MRTO4, -2;BDNF COL16A1 IGF1 S100P, -2;BDNF GNRH2, -2;BDNF LAMB3 VENTX, -2;BDNF PRKCB TGFB2, -2;BUB1 CFD ETS2 GATA3, -7;BUB1 ETS2 F13A1, -7;BUB1 MRTO4 OLFML2B, -2;CEACAM8 DDR2 LHX2, -1;CEACAM8 GNAI1 LAMB3 SOX2, 0;CYP27A1 ETS2 MAPT TNC, 0;E2F5 ETS2, -2;ETS2, -2;ETS2 HNF4A, -1;ETS2 PNLIP TLR4, 0	-7	ATP5B BAK1 BUB1 CFD ETS2
BDNF CFD INS MRTO4	588	27	ACTN1 BDNF MRTO4, -7;AGER MRTO4, -2;ARHGEF1 ITIH4 MRTO4 PRKCA, -1;ATP5B BAK1 BUB1 CFD ETS2, 0;BAK1 BDNF GNAI1, -1;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BDNF, -2;BDNF BUB1 CEACAM8 ETS2, -2;BDNF COL16A1 IGF1 S100P, -2;BDNF GNRH2, -2;BDNF LAMB3 VENTX, -2;BDNF PRKCB TGFB2, -2;BUB1 CFD ETS2 GATA3, -2;BUB1 MRTO4 OLFML2B, -1;CDH6 MRTO4 PAIP2B, -1;CFD, -2;DAB2 GDNF INS, -2;E2F5 MRTO4 TLR4, -1;F3 INS LAMA5 PAX4 TGFB2, 0;GRTP1 KIF13B MRTO4 RPL18, -1;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, 1;LAMA5 LILRB5 MRTO4 OSBPL9, -1;LAMB3 MRTO4 PAIP2B, -1;LILRB5 MRTO4 TLE1, -1;MME MRTO4, -2;MRTO4, -2;MRTO4 TLR4, -1	-7	ACTN1 BDNF MRTO4
BDNF COL16A1 IGF1 S100P	587	28	ACTN1 BDNF MRTO4, -1;ATM CEACAM8 IGF1 S100P, -8;ATM IGF1 S100P, -8;BAK1 BDNF GNAI1, -1;BAK1 BDNF HMG20B IGF1 S100P SOX5, -12;BAK1 S100P, -2;BDNF, -2;BDNF BUB1 CEACAM8 ETS2, -2;BDNF CFD INS MRTO4, -2;BDNF GNRH2, -2;BDNF LAMB3 VENTX, -2;BDNF PRKCB TGFB2, -2;CALCOCO1 IGF1 LAMA5, -2;COL16A1 GNAI1 PRKCA, -2;COL16A1 MYL1 S100P, -8;CPB2 GABBR2 S100P SYT5, -1;CTGF FABP6 IGF1 PRPH2 RFX4, -1;CTGF HNF4A S100P ZNF273, -1;DLG2 ELN S100P TBXA2R, -1;ELN S100P ZNF668, -1;FMO4 S100P, -2;HTR2A LCN2 S100P, -2;IGF1, -2;IGF1 LAMA5 PDLIM4, -1;IGF1 LAMB3, -2;IGF1 MSC PDIA3 PPA2, 0;PPA2 S100P, -2;S100P, -2	-12	BAK1 BDNF HMG20B IGF1 S100P SOX5
